Position: x = 0.00240719, y = 0.00485368
Position: x = -1.12925, y = -4.20157
Position: x = -1.14832, y = -4.19626
Position: x = -1.16754, y = -4.19125
Position: x = -1.18682, y = -4.18659
Position: x = -1.20616, y = -4.1823
Position: x = -1.22566, y = -4.17826
Position: x = -1.24519, y = -4.17447
Position: x = -1.26483, y = -4.17093
Position: x = -1.28451, y = -4.16762
Position: x = -1.30419, y = -4.16456
Position: x = -1.32395, y = -4.16168
Position: x = -1.34369, y = -4.15899
Position: x = -1.36349, y = -4.15642
Position: x = -1.38335, y = -4.15389
Position: x = -1.40317, y = -4.15151
Position: x = -1.42307, y = -4.14911
Position: x = -1.44291, y = -4.14682
Position: x = -1.46278, y = -4.1445
Position: x = -1.48277, y = -4.14203
Position: x = -1.50262, y = -4.13966
Position: x = -1.52266, y = -4.137
Position: x = -1.54246, y = -4.13448
Position: x = -1.56235, y = -4.13169
Position: x = -1.58224, y = -4.12871
Position: x = -1.60201, y = -4.12578
Position: x = -1.62196, y = -4.12259
Position: x = -1.64166, y = -4.11957
Position: x = -1.66143, y = -4.11639
Position: x = -1.68123, y = -4.1131
Position: x = -1.70099, y = -4.1098
Position: x = -1.72081, y = -4.10641
Position: x = -1.74049, y = -4.10315
Position: x = -1.76024, y = -4.09989
Position: x = -1.7799, y = -4.09678
Position: x = -1.79969, y = -4.09359
Position: x = -1.81953, y = -4.09036
Position: x = -1.83931, y = -4.08715
Position: x = -1.85912, y = -4.08387
Position: x = -1.87885, y = -4.0806
Position: x = -1.89859, y = -4.07721
Position: x = -1.91849, y = -4.07353
Position: x = -1.93827, y = -4.0698
Position: x = -1.958, y = -4.06593
Position: x = -1.97775, y = -4.06184
Position: x = -1.99729, y = -4.05772
Position: x = -2.017, y = -4.05315
Position: x = -2.03663, y = -4.04834
Position: x = -2.05619, y = -4.04325
Position: x = -2.0757, y = -4.03784
Position: x = -2.09502, y = -4.0322
Position: x = -2.11432, y = -4.0261
Position: x = -2.13346, y = -4.01967
Position: x = -2.15259, y = -4.0127
Position: x = -2.1715, y = -4.0054
Position: x = -2.19017, y = -3.99777
Position: x = -2.20877, y = -3.98966
Position: x = -2.22702, y = -3.98129
Position: x = -2.24515, y = -3.97248
Position: x = -2.26318, y = -3.9635
Position: x = -2.28109, y = -3.95439
Position: x = -2.29883, y = -3.94521
Position: x = -2.31649, y = -3.93586
Position: x = -2.33404, y = -3.92636
Position: x = -2.35164, y = -3.91661
Position: x = -2.36914, y = -3.90677
Position: x = -2.38649, y = -3.89691
Position: x = -2.40385, y = -3.88685
Position: x = -2.42101, y = -3.87682
Position: x = -2.43819, y = -3.86659
Position: x = -2.4552, y = -3.85638
Position: x = -2.47228, y = -3.84601
Position: x = -2.48929, y = -3.83566
Position: x = -2.50631, y = -3.82528
Position: x = -2.52329, y = -3.81493
Position: x = -2.54032, y = -3.8046
Position: x = -2.55723, y = -3.79447
Position: x = -2.5743, y = -3.78431
Position: x = -2.59143, y = -3.77423
Position: x = -2.6086, y = -3.76426
Position: x = -2.62593, y = -3.75432
Position: x = -2.64318, y = -3.74471
Position: x = -2.66063, y = -3.73517
Position: x = -2.67802, y = -3.72597
Position: x = -2.6956, y = -3.71694
Position: x = -2.71336, y = -3.70809
Position: x = -2.73116, y = -3.6996
Position: x = -2.74923, y = -3.69129
Position: x = -2.76732, y = -3.68344
Position: x = -2.78558, y = -3.67578
Position: x = -2.80395, y = -3.6684
Position: x = -2.82239, y = -3.66132
Position: x = -2.84107, y = -3.65438
Position: x = -2.85973, y = -3.64782
Position: x = -2.87852, y = -3.64148
Position: x = -2.89743, y = -3.63531
Position: x = -2.9164, y = -3.62937
Position: x = -2.93542, y = -3.6236
Position: x = -2.95457, y = -3.61784
Position: x = -2.97365, y = -3.61232
Position: x = -2.99283, y = -3.60683
Position: x = -3.012, y = -3.6015
Position: x = -3.03119, y = -3.59631
Position: x = -3.05058, y = -3.59107
Position: x = -3.06985, y = -3.58605
Position: x = -3.08918, y = -3.58106
Position: x = -3.10853, y = -3.5761
Position: x = -3.12792, y = -3.57112
Position: x = -3.14731, y = -3.56611
Position: x = -3.16675, y = -3.561
Position: x = -3.18607, y = -3.55595
Position: x = -3.20547, y = -3.55068
Position: x = -3.22478, y = -3.54536
Position: x = -3.24415, y = -3.53979
Position: x = -3.26347, y = -3.53406
Position: x = -3.28262, y = -3.52825
Position: x = -3.30189, y = -3.52202
Position: x = -3.32084, y = -3.51581
Position: x = -3.33988, y = -3.50914
Position: x = -3.35876, y = -3.50224
Position: x = -3.37753, y = -3.49502
Position: x = -3.39624, y = -3.48738
Position: x = -3.41472, y = -3.47948
Position: x = -3.43312, y = -3.47109
Position: x = -3.45124, y = -3.46237
Position: x = -3.46917, y = -3.45326
Position: x = -3.48693, y = -3.4437
Position: x = -3.50452, y = -3.43368
Position: x = -3.52178, y = -3.4234
Position: x = -3.53892, y = -3.41263
Position: x = -3.55562, y = -3.40171
Position: x = -3.57215, y = -3.39031
Position: x = -3.58847, y = -3.37855
Position: x = -3.60456, y = -3.36676
Position: x = -3.62059, y = -3.35485
Position: x = -3.63651, y = -3.34283
Position: x = -3.65238, y = -3.33069
Position: x = -3.66805, y = -3.31854
Position: x = -3.68381, y = -3.3061
Position: x = -3.6994, y = -3.29363
Position: x = -3.71495, y = -3.281
Position: x = -3.73033, y = -3.26836
Position: x = -3.7457, y = -3.25553
Position: x = -3.76095, y = -3.24262
Position: x = -3.77603, y = -3.22969
Position: x = -3.79114, y = -3.21653
Position: x = -3.80598, y = -3.20346
Position: x = -3.82088, y = -3.19012
Position: x = -3.83567, y = -3.17665
Position: x = -3.85035, y = -3.16306
Position: x = -3.86493, y = -3.14934
Position: x = -3.8793, y = -3.13557
Position: x = -3.89359, y = -3.12173
Position: x = -3.90789, y = -3.1078
Position: x = -3.92201, y = -3.09394
Position: x = -3.93618, y = -3.07992
Position: x = -3.95032, y = -3.06584
Position: x = -3.96447, y = -3.05168
Position: x = -3.97853, y = -3.03755
Position: x = -3.99245, y = -3.02355
Position: x = -4.00654, y = -3.00943
Position: x = -4.02061, y = -2.99538
Position: x = -4.03466, y = -2.98146
Position: x = -4.04886, y = -2.96755
Position: x = -4.06298, y = -2.9538
Position: x = -4.07726, y = -2.93996
Position: x = -4.09158, y = -2.92612
Position: x = -4.10593, y = -2.91221
Position: x = -4.12025, y = -2.89828
Position: x = -4.13448, y = -2.88436
Position: x = -4.14866, y = -2.87037
Position: x = -4.16283, y = -2.85623
Position: x = -4.17676, y = -2.84212
Position: x = -4.19065, y = -2.82783
Position: x = -4.20454, y = -2.81325
Position: x = -4.21818, y = -2.7986
Position: x = -4.2317, y = -2.78373
Position: x = -4.24495, y = -2.76875
Position: x = -4.25799, y = -2.75353
Position: x = -4.27081, y = -2.73809
Position: x = -4.2833, y = -2.72249
Position: x = -4.2956, y = -2.70654
Position: x = -4.30754, y = -2.69038
Position: x = -4.31921, y = -2.67387
Position: x = -4.33047, y = -2.65719
Position: x = -4.34132, y = -2.64022
Position: x = -4.35175, y = -2.62306
Position: x = -4.36181, y = -2.60564
Position: x = -4.37156, y = -2.58792
Position: x = -4.38095, y = -2.57009
Position: x = -4.38991, y = -2.55205
Position: x = -4.39853, y = -2.53385
Position: x = -4.40664, y = -2.5156
Position: x = -4.41461, y = -2.49717
Position: x = -4.4224, y = -2.47864
Position: x = -4.43004, y = -2.45993
Position: x = -4.43737, y = -2.44132
Position: x = -4.44446, y = -2.42259
Position: x = -4.45131, y = -2.40377
Position: x = -4.45806, y = -2.38466
Position: x = -4.46446, y = -2.36548
Position: x = -4.47051, y = -2.34635
Position: x = -4.47626, y = -2.32711
Position: x = -4.4818, y = -2.30789
Position: x = -4.48724, y = -2.28871
Position: x = -4.49266, y = -2.26943
Position: x = -4.49811, y = -2.25
Position: x = -4.50338, y = -2.2307
Position: x = -4.50859, y = -2.21137
Position: x = -4.51368, y = -2.19214
Position: x = -4.51886, y = -2.17283
Position: x = -4.52418, y = -2.15343
Position: x = -4.52937, y = -2.1342
Position: x = -4.53476, y = -2.1149
Position: x = -4.54011, y = -2.09577
Position: x = -4.54557, y = -2.07672
Position: x = -4.55125, y = -2.05765
Position: x = -4.55718, y = -2.03844
Position: x = -4.56312, y = -2.01928
Position: x = -4.56895, y = -2.00031
Position: x = -4.57489, y = -1.98135
Position: x = -4.58092, y = -1.96238
Position: x = -4.58714, y = -1.94331
Position: x = -4.5933, y = -1.92441
Position: x = -4.59971, y = -1.90548
Position: x = -4.60607, y = -1.88681
Position: x = -4.61254, y = -1.86829
Position: x = -4.61946, y = -1.84953
Position: x = -4.62658, y = -1.83074
Position: x = -4.63364, y = -1.81213
Position: x = -4.64084, y = -1.79351
Position: x = -4.64805, y = -1.77494
Position: x = -4.65526, y = -1.75642
Position: x = -4.66265, y = -1.73771
Position: x = -4.66996, y = -1.71905
Position: x = -4.67716, y = -1.70047
Position: x = -4.68439, y = -1.68174
Position: x = -4.69143, y = -1.66306
Position: x = -4.69835, y = -1.64434
Position: x = -4.70517, y = -1.62553
Position: x = -4.71199, y = -1.60653
Position: x = -4.71862, y = -1.5876
Position: x = -4.72503, y = -1.56858
Position: x = -4.73123, y = -1.54955
Position: x = -4.73728, y = -1.53039
Position: x = -4.74318, y = -1.51101
Position: x = -4.74876, y = -1.49176
Position: x = -4.75418, y = -1.47233
Position: x = -4.75938, y = -1.45298
Position: x = -4.76434, y = -1.43362
Position: x = -4.7691, y = -1.41419
Position: x = -4.77389, y = -1.39462
Position: x = -4.77864, y = -1.37504
Position: x = -4.78319, y = -1.35566
Position: x = -4.78771, y = -1.33623
Position: x = -4.79221, y = -1.3168
Position: x = -4.79688, y = -1.29716
Position: x = -4.80147, y = -1.27762
Position: x = -4.80599, y = -1.25816
Position: x = -4.81054, y = -1.23869
Position: x = -4.81501, y = -1.21931
Position: x = -4.81958, y = -1.19983
Position: x = -4.8242, y = -1.18035
Position: x = -4.82894, y = -1.16077
Position: x = -4.83351, y = -1.14139
Position: x = -4.83812, y = -1.122
Position: x = -4.84271, y = -1.10264
Position: x = -4.84753, y = -1.08304
Position: x = -4.85232, y = -1.06347
Position: x = -4.85695, y = -1.04409
Position: x = -4.86166, y = -1.02465
Position: x = -4.86633, y = -1.0052
Position: x = -4.87092, y = -0.985753
Position: x = -4.87552, y = -0.966229
Position: x = -4.88012, y = -0.946556
Position: x = -4.88452, y = -0.927049
Position: x = -4.88881, y = -0.907543
Position: x = -4.89304, y = -0.888042
Position: x = -4.89738, y = -0.868442
Position: x = -4.90179, y = -0.848783
Position: x = -4.90606, y = -0.829324
Position: x = -4.91049, y = -0.809783
Position: x = -4.9149, y = -0.790396
Position: x = -4.91938, y = -0.771076
Position: x = -4.92408, y = -0.751736
Position: x = -4.92911, y = -0.732298
Position: x = -4.93415, y = -0.71301
Position: x = -4.93939, y = -0.69379
Position: x = -4.94471, y = -0.674706
Position: x = -4.95032, y = -0.655575
Position: x = -4.95616, y = -0.636366
Position: x = -4.96192, y = -0.617335
Position: x = -4.96791, y = -0.598253
Position: x = -4.9739, y = -0.579285
Position: x = -4.97996, y = -0.560417
Position: x = -4.98618, y = -0.541513
Position: x = -4.99259, y = -0.522527
Position: x = -4.99907, y = -0.503564
Position: x = -5.00545, y = -0.484782
Position: x = -5.01197, y = -0.466002
Position: x = -5.01856, y = -0.44725
Position: x = -5.02539, y = -0.428333
Position: x = -5.03223, y = -0.409484
Position: x = -5.03901, y = -0.390777
Position: x = -5.04576, y = -0.372183
Position: x = -5.0525, y = -0.353732
Position: x = -5.05957, y = -0.335044
Position: x = -5.06681, y = -0.316283
Position: x = -5.07395, y = -0.297707
Position: x = -5.08119, y = -0.279135
Position: x = -5.08845, y = -0.260601
Position: x = -5.09574, y = -0.242085
Position: x = -5.10317, y = -0.223418
Position: x = -5.11058, y = -0.204727
Position: x = -5.11783, y = -0.186164
Position: x = -5.12511, y = -0.167439
Position: x = -5.13218, y = -0.148795
Position: x = -5.13914, y = -0.13009
Position: x = -5.146, y = -0.111277
Position: x = -5.15281, y = -0.0922438
Position: x = -5.15938, y = -0.0732687
Position: x = -5.16567, y = -0.054169
Position: x = -5.17168, y = -0.0350439
Position: x = -5.17748, y = -0.0157775
Position: x = -5.18309, y = 0.00375222
Position: x = -5.18836, y = 0.0232163
Position: x = -5.19323, y = 0.0429073
Position: x = -5.19786, y = 0.0626104
Position: x = -5.20222, y = 0.0823763
Position: x = -5.2063, y = 0.102384
Position: x = -5.21019, y = 0.122455
Position: x = -5.21365, y = 0.142589
Position: x = -5.21649, y = 0.162895
Position: x = -5.21898, y = 0.183075
Position: x = -5.22061, y = 0.203561
Position: x = -5.22182, y = 0.223907
Position: x = -5.22229, y = 0.244368
Position: x = -5.22215, y = 0.264754
Position: x = -5.22114, y = 0.285169
Position: x = -5.21967, y = 0.305401
Position: x = -5.21749, y = 0.325735
Position: x = -5.21493, y = 0.345832
Position: x = -5.21166, y = 0.366
Position: x = -5.20807, y = 0.385816
Position: x = -5.20388, y = 0.405644
Position: x = -5.19917, y = 0.425416
Position: x = -5.19412, y = 0.444959
Position: x = -5.18849, y = 0.464505
Position: x = -5.18257, y = 0.483653
Position: x = -5.17626, y = 0.502808
Position: x = -5.16973, y = 0.5218
Position: x = -5.16288, y = 0.540744
Position: x = -5.15575, y = 0.559575
Position: x = -5.14849, y = 0.57817
Position: x = -5.14074, y = 0.596859
Position: x = -5.13298, y = 0.61518
Position: x = -5.12473, y = 0.633596
Position: x = -5.11625, y = 0.651831
Position: x = -5.10759, y = 0.669864
Position: x = -5.09874, y = 0.687803
Position: x = -5.08968, y = 0.705688
Position: x = -5.0805, y = 0.723406
Position: x = -5.07109, y = 0.741045
Position: x = -5.06157, y = 0.758552
Position: x = -5.05196, y = 0.776043
Position: x = -5.04224, y = 0.793551
Position: x = -5.03252, y = 0.810924
Position: x = -5.0226, y = 0.828385
Position: x = -5.01285, y = 0.845569
Position: x = -5.00287, y = 0.862901
Position: x = -4.99292, y = 0.880177
Position: x = -4.98302, y = 0.897412
Position: x = -4.97311, y = 0.914672
Position: x = -4.96328, y = 0.931913
Position: x = -4.95351, y = 0.949148
Position: x = -4.9438, y = 0.966434
Position: x = -4.93414, y = 0.983826
Position: x = -4.9246, y = 1.00129
Position: x = -4.91526, y = 1.01876
Position: x = -4.90613, y = 1.03627
Position: x = -4.89727, y = 1.0538
Position: x = -4.88848, y = 1.07158
Position: x = -4.87995, y = 1.08944
Position: x = -4.87173, y = 1.10738
Position: x = -4.86373, y = 1.12559
Position: x = -4.8561, y = 1.14379
Position: x = -4.8483, y = 1.16228
Position: x = -4.84064, y = 1.18074
Position: x = -4.83315, y = 1.19913
Position: x = -4.82567, y = 1.21763
Position: x = -4.81837, y = 1.23607
Position: x = -4.8111, y = 1.25454
Position: x = -4.80377, y = 1.2731
Position: x = -4.7964, y = 1.29169
Position: x = -4.78902, y = 1.31026
Position: x = -4.78155, y = 1.32885
Position: x = -4.77406, y = 1.34735
Position: x = -4.76639, y = 1.36589
Position: x = -4.75863, y = 1.38435
Position: x = -4.75066, y = 1.4028
Position: x = -4.74258, y = 1.42112
Position: x = -4.73425, y = 1.4394
Position: x = -4.72575, y = 1.45755
Position: x = -4.71699, y = 1.47561
Position: x = -4.70796, y = 1.4935
Position: x = -4.69873, y = 1.51123
Position: x = -4.6892, y = 1.52891
Position: x = -4.67951, y = 1.54637
Position: x = -4.66948, y = 1.56382
Position: x = -4.65934, y = 1.58097
Position: x = -4.64912, y = 1.59802
Position: x = -4.63868, y = 1.61511
Position: x = -4.6281, y = 1.63214
Position: x = -4.61752, y = 1.64899
Position: x = -4.60672, y = 1.66587
Position: x = -4.59596, y = 1.68259
Position: x = -4.58508, y = 1.69932
Position: x = -4.57419, y = 1.71596
Position: x = -4.56316, y = 1.73261
Position: x = -4.55217, y = 1.74913
Position: x = -4.54091, y = 1.76576
Position: x = -4.52969, y = 1.78216
Position: x = -4.51828, y = 1.79855
Position: x = -4.50669, y = 1.81486
Position: x = -4.49494, y = 1.83103
Position: x = -4.48301, y = 1.84705
Position: x = -4.47078, y = 1.863
Position: x = -4.45831, y = 1.87878
Position: x = -4.44564, y = 1.89429
Position: x = -4.43272, y = 1.90959
Position: x = -4.41962, y = 1.92465
Position: x = -4.4063, y = 1.93953
Position: x = -4.39277, y = 1.95426
Position: x = -4.37915, y = 1.96878
Position: x = -4.36528, y = 1.98325
Position: x = -4.3513, y = 1.99758
Position: x = -4.33734, y = 2.01169
Position: x = -4.32322, y = 2.02579
Position: x = -4.30914, y = 2.03973
Position: x = -4.29488, y = 2.05375
Position: x = -4.28075, y = 2.0676
Position: x = -4.26663, y = 2.08143
Position: x = -4.25247, y = 2.09531
Position: x = -4.23822, y = 2.10933
Position: x = -4.22415, y = 2.12326
Position: x = -4.21004, y = 2.13735
Position: x = -4.19619, y = 2.15133
Position: x = -4.18237, y = 2.16553
Position: x = -4.16876, y = 2.17974
Position: x = -4.1552, y = 2.19418
Position: x = -4.1419, y = 2.2087
Position: x = -4.12871, y = 2.22341
Position: x = -4.11559, y = 2.23835
Position: x = -4.10264, y = 2.25337
Position: x = -4.08984, y = 2.26847
Position: x = -4.07712, y = 2.28366
Position: x = -4.06446, y = 2.29894
Position: x = -4.05189, y = 2.31424
Position: x = -4.03932, y = 2.32961
Position: x = -4.02673, y = 2.34503
Position: x = -4.01416, y = 2.36044
Position: x = -4.00155, y = 2.37585
Position: x = -3.98892, y = 2.39123
Position: x = -3.97627, y = 2.40647
Position: x = -3.96337, y = 2.42185
Position: x = -3.9506, y = 2.43698
Position: x = -3.9377, y = 2.45217
Position: x = -3.92482, y = 2.46732
Position: x = -3.91199, y = 2.48244
Position: x = -3.89917, y = 2.49758
Position: x = -3.88639, y = 2.51273
Position: x = -3.87362, y = 2.52794
Position: x = -3.86095, y = 2.54313
Position: x = -3.84817, y = 2.55846
Position: x = -3.83555, y = 2.57371
Position: x = -3.82292, y = 2.5891
Position: x = -3.81048, y = 2.60444
Position: x = -3.79808, y = 2.61995
Position: x = -3.78593, y = 2.63543
Position: x = -3.77384, y = 2.65112
Position: x = -3.76206, y = 2.66679
Position: x = -3.75038, y = 2.6827
Position: x = -3.73891, y = 2.69878
Position: x = -3.72771, y = 2.71498
Position: x = -3.71668, y = 2.73144
Position: x = -3.70612, y = 2.74789
Position: x = -3.69572, y = 2.76469
Position: x = -3.68573, y = 2.78166
Position: x = -3.67607, y = 2.79887
Position: x = -3.66662, y = 2.8163
Position: x = -3.65749, y = 2.83381
Position: x = -3.64874, y = 2.85138
Position: x = -3.64017, y = 2.86928
Position: x = -3.63182, y = 2.88736
Position: x = -3.62364, y = 2.90543
Position: x = -3.61545, y = 2.92367
Position: x = -3.60755, y = 2.94179
Position: x = -3.5997, y = 2.96
Position: x = -3.59189, y = 2.97834
Position: x = -3.58429, y = 2.99665
Position: x = -3.57692, y = 3.01496
Position: x = -3.56961, y = 3.03347
Position: x = -3.56268, y = 3.0519
Position: x = -3.55588, y = 3.07053
Position: x = -3.5492, y = 3.08932
Position: x = -3.5428, y = 3.10808
Position: x = -3.53652, y = 3.12695
Position: x = -3.53034, y = 3.14589
Position: x = -3.52431, y = 3.16484
Position: x = -3.51839, y = 3.1838
Position: x = -3.51233, y = 3.20296
Position: x = -3.50647, y = 3.22199
Position: x = -3.50054, y = 3.24111
Position: x = -3.49464, y = 3.26018
Position: x = -3.48867, y = 3.27926
Position: x = -3.48263, y = 3.29834
Position: x = -3.47645, y = 3.31743
Position: x = -3.47021, y = 3.33644
Position: x = -3.46376, y = 3.35547
Position: x = -3.45719, y = 3.3744
Position: x = -3.45044, y = 3.39325
Position: x = -3.44335, y = 3.41216
Position: x = -3.43622, y = 3.43078
Position: x = -3.42865, y = 3.44949
Position: x = -3.42094, y = 3.46794
Position: x = -3.41282, y = 3.48636
Position: x = -3.40435, y = 3.50465
Position: x = -3.39558, y = 3.52275
Position: x = -3.3865, y = 3.5406
Position: x = -3.37687, y = 3.55841
Position: x = -3.36693, y = 3.5759
Position: x = -3.35649, y = 3.5932
Position: x = -3.34563, y = 3.61021
Position: x = -3.3344, y = 3.62685
Position: x = -3.32255, y = 3.64332
Position: x = -3.31034, y = 3.65932
Position: x = -3.2976, y = 3.67496
Position: x = -3.28441, y = 3.69014
Position: x = -3.27083, y = 3.70494
Position: x = -3.25682, y = 3.71942
Position: x = -3.24235, y = 3.73362
Position: x = -3.22771, y = 3.7473
Position: x = -3.2127, y = 3.76063
Position: x = -3.19746, y = 3.77356
Position: x = -3.18183, y = 3.78622
Position: x = -3.16583, y = 3.7986
Position: x = -3.1497, y = 3.81053
Position: x = -3.13323, y = 3.82218
Position: x = -3.1166, y = 3.8334
Position: x = -3.09978, y = 3.84426
Position: x = -3.08269, y = 3.85482
Position: x = -3.06529, y = 3.86507
Position: x = -3.04792, y = 3.87493
Position: x = -3.0304, y = 3.88453
Position: x = -3.01275, y = 3.89389
Position: x = -2.99481, y = 3.90316
Position: x = -2.97677, y = 3.91216
Position: x = -2.95882, y = 3.92085
Position: x = -2.94072, y = 3.92937
Position: x = -2.92259, y = 3.93766
Position: x = -2.90437, y = 3.94584
Position: x = -2.88608, y = 3.95391
Position: x = -2.86766, y = 3.96195
Position: x = -2.84939, y = 3.96979
Position: x = -2.83109, y = 3.97758
Position: x = -2.81281, y = 3.98532
Position: x = -2.79433, y = 3.99326
Position: x = -2.77594, y = 4.00114
Position: x = -2.75772, y = 4.00891
Position: x = -2.73951, y = 4.01677
Position: x = -2.72135, y = 4.02475
Position: x = -2.70328, y = 4.03282
Position: x = -2.68523, y = 4.04108
Position: x = -2.66718, y = 4.04958
Position: x = -2.64926, y = 4.05811
Position: x = -2.63142, y = 4.06684
Position: x = -2.61372, y = 4.0756
Position: x = -2.59603, y = 4.08452
Position: x = -2.57826, y = 4.09367
Position: x = -2.56056, y = 4.10292
Position: x = -2.54305, y = 4.11211
Position: x = -2.52557, y = 4.12144
Position: x = -2.50808, y = 4.13094
Position: x = -2.49068, y = 4.14043
Position: x = -2.47325, y = 4.15002
Position: x = -2.45572, y = 4.15971
Position: x = -2.43831, y = 4.16928
Position: x = -2.42085, y = 4.17882
Position: x = -2.40337, y = 4.18829
Position: x = -2.38579, y = 4.19776
Position: x = -2.36802, y = 4.20723
Position: x = -2.35038, y = 4.21645
Position: x = -2.33263, y = 4.22561
Position: x = -2.31491, y = 4.23466
Position: x = -2.29725, y = 4.2436
Position: x = -2.27953, y = 4.2526
Position: x = -2.26168, y = 4.2617
Position: x = -2.24378, y = 4.27077
Position: x = -2.226, y = 4.27966
Position: x = -2.20815, y = 4.28846
Position: x = -2.19026, y = 4.2972
Position: x = -2.17211, y = 4.306
Position: x = -2.15402, y = 4.3146
Position: x = -2.1358, y = 4.32305
Position: x = -2.11769, y = 4.33113
Position: x = -2.09964, y = 4.33889
Position: x = -2.08112, y = 4.34695
Position: x = -2.06258, y = 4.35487
Position: x = -2.04415, y = 4.36253
Position: x = -2.02561, y = 4.37006
Position: x = -2.00706, y = 4.37741
Position: x = -1.98836, y = 4.38474
Position: x = -1.96956, y = 4.39195
Position: x = -1.95092, y = 4.39892
Position: x = -1.9322, y = 4.40584
Position: x = -1.91345, y = 4.41269
Position: x = -1.89475, y = 4.41946
Position: x = -1.87599, y = 4.42629
Position: x = -1.85718, y = 4.43318
Position: x = -1.83853, y = 4.43994
Position: x = -1.81992, y = 4.4468
Position: x = -1.80137, y = 4.45371
Position: x = -1.78269, y = 4.46093
Position: x = -1.76409, y = 4.46826
Position: x = -1.74569, y = 4.47555
Position: x = -1.7273, y = 4.48303
Position: x = -1.70897, y = 4.49071
Position: x = -1.69074, y = 4.49845
Position: x = -1.67252, y = 4.50633
Position: x = -1.65422, y = 4.5144
Position: x = -1.63602, y = 4.52242
Position: x = -1.61782, y = 4.53051
Position: x = -1.59972, y = 4.53856
Position: x = -1.5816, y = 4.54674
Position: x = -1.56346, y = 4.55507
Position: x = -1.54548, y = 4.56334
Position: x = -1.52745, y = 4.57188
Position: x = -1.50952, y = 4.58044
Position: x = -1.49169, y = 4.58901
Position: x = -1.47376, y = 4.59774
Position: x = -1.45583, y = 4.60651
Position: x = -1.43784, y = 4.61532
Position: x = -1.41997, y = 4.62398
Position: x = -1.40204, y = 4.63261
Position: x = -1.38409, y = 4.64116
Position: x = -1.36591, y = 4.64979
Position: x = -1.3478, y = 4.65828
Position: x = -1.3298, y = 4.66665
Position: x = -1.31175, y = 4.67506
Position: x = -1.29376, y = 4.6834
Position: x = -1.27569, y = 4.69181
Position: x = -1.25762, y = 4.70021
Position: x = -1.23944, y = 4.70869
Position: x = -1.22142, y = 4.71701
Position: x = -1.20339, y = 4.72533
Position: x = -1.18537, y = 4.73361
Position: x = -1.16715, y = 4.7421
Position: x = -1.14901, y = 4.75049
Position: x = -1.13099, y = 4.75876
Position: x = -1.11292, y = 4.76707
Position: x = -1.09485, y = 4.77539
Position: x = -1.07675, y = 4.78372
Position: x = -1.05859, y = 4.79206
Position: x = -1.04031, y = 4.8004
Position: x = -1.02216, y = 4.80855
Position: x = -1.00396, y = 4.81662
Position: x = -0.985753, y = 4.8246
Position: x = -0.967288, y = 4.8327
Position: x = -0.948852, y = 4.84063
Position: x = -0.930533, y = 4.84839
Position: x = -0.912135, y = 4.85608
Position: x = -0.89379, y = 4.86361
Position: x = -0.875363, y = 4.87118
Position: x = -0.856847, y = 4.8788
Position: x = -0.838314, y = 4.88645
Position: x = -0.819964, y = 4.89394
Position: x = -0.801599, y = 4.90148
Position: x = -0.783211, y = 4.90907
Position: x = -0.764702, y = 4.9168
Position: x = -0.746375, y = 4.92437
Position: x = -0.7279, y = 4.9321
Position: x = -0.709645, y = 4.93961
Position: x = -0.691492, y = 4.94704
Position: x = -0.672933, y = 4.95488
Position: x = -0.654422, y = 4.96264
Position: x = -0.636071, y = 4.97027
Position: x = -0.617641, y = 4.97799
Position: x = -0.599329, y = 4.98562
Position: x = -0.580936, y = 4.99337
Position: x = -0.562514, y = 5.00114
Position: x = -0.54424, y = 5.00879
Position: x = -0.525832, y = 5.01661
Position: x = -0.507553, y = 5.02433
Position: x = -0.489284, y = 5.03209
Position: x = -0.470997, y = 5.0399
Position: x = -0.452603, y = 5.04786
Position: x = -0.434322, y = 5.05576
Position: x = -0.416045, y = 5.06373
Position: x = -0.397886, y = 5.07164
Position: x = -0.379668, y = 5.07969
Position: x = -0.361371, y = 5.08784
Position: x = -0.343217, y = 5.09587
Position: x = -0.324893, y = 5.10401
Position: x = -0.30669, y = 5.112
Position: x = -0.288454, y = 5.11993
Position: x = -0.270116, y = 5.12782
Position: x = -0.251582, y = 5.13573
Position: x = -0.233156, y = 5.14342
Position: x = -0.214685, y = 5.15094
Position: x = -0.196195, y = 5.15831
Position: x = -0.177521, y = 5.1657
Position: x = -0.158855, y = 5.17301
Position: x = -0.140322, y = 5.18017
Position: x = -0.121715, y = 5.18733
Position: x = -0.103149, y = 5.19438
Position: x = -0.0844867, y = 5.20148
Position: x = -0.065812, y = 5.20857
Position: x = -0.0470661, y = 5.21573
Position: x = -0.0285305, y = 5.22272
Position: x = -0.0100052, y = 5.22981
Position: x = 0.00849796, y = 5.23699
Position: x = 0.0271106, y = 5.24441
Position: x = 0.0455296, y = 5.25171
Position: x = 0.0639796, y = 5.25921
Position: x = 0.082372, y = 5.26676
Position: x = 0.100656, y = 5.27434
Position: x = 0.119025, y = 5.2821
Position: x = 0.1374, y = 5.28992
Position: x = 0.155865, y = 5.29783
Position: x = 0.174162, y = 5.30557
Position: x = 0.192506, y = 5.3133
Position: x = 0.210886, y = 5.32099
Position: x = 0.229448, y = 5.32871
Position: x = 0.247892, y = 5.33621
Position: x = 0.266511, y = 5.3436
Position: x = 0.285049, y = 5.35086
